N,P,K,temperature,humidity,ph,rainfall,label
18.33,14.54,10.04,21.03,92.86,6.79,113.78,orange
16.78,18.08,43.78,20.27,89.44,6.51,95.85,pomegranate
18.5,65.28,23.84,21.22,18.82,5.75,113.37,kidneybeans
103.57,18.98,51.13,26.79,86.93,6.41,48.49,watermelon
19.22,47.18,19.58,30.33,82.27,6.47,54.62,mungbean
39.15,68.45,21.39,31.18,66.14,7.46,58.69,blackgram
92.78,49.33,36.26,26.7,82.65,6.87,237.89,rice
78.1,40.87,33.09,25.45,88.03,5.84,250.27,rice
111.54,41.72,15.08,25.69,79.28,6.4,73.79,cotton
100.12,48.31,16.07,25.03,77.93,6.48,86.8,cotton
12.29,60.53,19.16,25.29,51.14,5.44,192.8,pigeonpeas
31.27,19.69,10.03,25.4,88.93,8.01,106.37,orange
47.15,61.77,22.48,28.8,59.76,7.32,75.54,blackgram
16.38,71.48,21.01,26.11,58.02,7.3,42.85,lentil
112.77,88.91,49.94,22.97,78.47,5.81,96.77,banana
14.97,27.66,34.28,34.0,51.0,5.67,96.31,mango
74.56,54.75,23.57,19.33,67.59,6.41,81.23,maize
22.03,141.8,191.32,23.62,92.28,6.16,119.1,apple
13.07,15.45,31.77,18.95,90.55,5.81,98.61,pomegranate
21.96,27.87,34.63,31.81,48.79,5.8,95.41,mango
119.69,46.61,17.97,25.39,74.21,6.69,76.52,cotton
27.87,52.34,22.52,27.05,85.26,6.61,42.37,mungbean
20.79,59.5,25.09,32.44,49.04,6.31,153.01,pigeonpeas
39.04,72.37,81.07,17.77,16.16,6.98,88.71,chickpea
21.53,119.06,199.59,22.94,92.13,5.73,106.07,apple
104.79,35.82,28.29,26.89,60.12,7.19,168.47,coffee
26.7,68.68,14.1,24.91,46.98,5.95,148.37,pigeonpeas
77.29,45.54,36.1,25.3,87.52,6.55,168.3,jute
87.4,52.29,38.98,22.64,80.46,6.42,152.45,jute
69.25,41.47,44.01,22.16,85.26,6.6,163.21,jute
58.99,52.58,44.46,33.68,88.18,6.95,167.01,papaya
23.18,71.35,16.82,29.95,65.58,6.84,50.52,lentil
21.08,126.38,203.67,19.19,83.31,6.21,66.08,grapes
82.27,56.15,31.96,23.97,83.08,6.71,205.28,rice
14.85,12.15,10.79,20.91,89.06,7.39,120.27,orange
17.91,49.52,21.65,28.35,85.33,6.82,47.01,mungbean
15.37,26.47,30.84,30.52,52.25,5.91,105.7,mango
15.07,71.37,21.88,18.71,23.06,5.75,97.82,kidneybeans
22.2,133.98,201.66,25.48,82.49,5.64,65.85,grapes
15.0,55.91,18.86,30.68,85.27,6.15,53.75,mungbean
16.15,20.2,12.19,24.37,91.3,6.65,106.36,orange
14.02,64.82,20.4,26.56,46.79,5.75,147.88,pigeonpeas
114.67,74.51,44.51,29.17,82.6,6.38,111.01,banana
75.85,51.43,51.35,23.96,83.04,6.22,214.95,rice
26.95,73.16,19.88,26.66,35.95,5.26,187.73,pigeonpeas
29.47,19.19,44.67,22.26,91.35,6.3,108.67,pomegranate
95.78,35.95,27.08,25.07,54.04,6.4,185.95,coffee
85.9,18.12,51.05,29.66,95.86,6.13,24.54,muskmelon
32.35,74.84,20.66,28.43,64.53,7.58,72.2,blackgram
53.37,68.0,52.82,36.53,93.09,6.4,121.71,papaya
45.07,58.58,49.7,33.98,97.55,6.77,101.88,papaya
19.38,7.99,41.56,21.1,89.91,6.29,112.34,pomegranate
21.83,77.69,22.11,21.68,21.81,5.98,112.05,kidneybeans
43.28,67.05,77.82,18.74,16.62,7.15,78.03,chickpea
21.59,40.78,17.3,28.65,88.81,6.62,46.98,mungbean
21.55,46.45,18.47,27.26,83.44,6.29,47.94,mungbean
20.45,24.6,29.02,36.21,49.12,5.94,97.95,mango
21.84,54.69,21.81,28.45,51.93,6.33,156.85,pigeonpeas
107.29,12.88,48.98,28.45,93.25,5.86,25.2,muskmelon
20.93,17.62,27.96,30.0,43.64,5.34,82.81,mango
17.58,42.2,19.47,29.18,53.15,6.98,65.71,mothbeans
30.14,71.6,15.99,28.92,38.82,6.34,140.08,pigeonpeas
95.08,16.0,53.34,27.82,94.13,6.64,20.0,muskmelon
88.27,47.09,47.27,23.07,90.46,6.65,214.77,rice
15.92,29.92,36.05,19.09,91.94,5.78,106.09,pomegranate
96.81,22.55,47.46,28.22,91.22,6.38,22.95,muskmelon
16.84,73.51,22.7,28.83,55.2,5.21,182.84,pigeonpeas
26.67,145.0,192.74,19.72,91.81,5.44,113.02,apple
14.55,51.31,21.92,29.08,82.52,6.77,41.3,mungbean
85.77,45.58,41.86,22.39,82.56,6.34,265.39,rice
16.3,69.29,17.31,19.28,19.11,5.83,118.78,kidneybeans
17.09,130.15,194.23,22.26,94.45,5.9,118.72,apple
75.28,54.62,40.32,21.44,80.15,6.67,217.94,rice
21.07,27.44,30.32,29.61,50.0,6.25,95.38,mango
58.5,72.31,55.34,30.99,91.11,6.67,178.29,papaya
22.31,40.92,20.52,29.54,60.84,7.33,57.29,mothbeans
111.96,54.48,21.28,25.39,83.48,7.11,87.83,cotton
16.95,9.79,41.54,21.25,92.53,6.07,103.79,pomegranate
10.45,75.81,18.99,28.76,55.28,5.11,135.31,pigeonpeas
51.39,55.52,52.11,35.61,94.82,6.89,152.43,papaya
19.01,62.71,20.48,23.96,61.04,7.43,50.34,lentil
90.76,46.95,20.38,21.97,65.26,5.87,67.52,maize
46.44,64.08,75.8,17.33,12.87,8.12,71.27,chickpea
87.16,18.12,52.09,29.22,94.43,6.25,23.1,muskmelon
123.01,42.09,15.13,22.23,77.55,7.11,89.62,cotton
17.71,68.21,24.65,17.62,17.93,5.73,106.66,kidneybeans
34.9,62.36,82.94,21.4,17.59,6.82,83.66,chickpea
18.75,38.4,19.27,30.31,80.92,6.38,49.16,mungbean
90.61,19.98,30.24,26.93,58.47,6.64,166.46,coffee
93.93,32.88,33.54,23.84,60.13,7.35,165.58,coffee
18.29,15.83,10.61,21.03,92.59,6.94,109.84,orange
89.33,17.5,41.55,26.18,87.18,6.72,48.82,watermelon
16.65,13.22,10.19,22.12,93.5,6.82,122.53,orange
25.3,137.41,205.0,19.54,86.28,5.25,66.52,grapes
91.12,21.81,30.83,24.55,54.98,6.42,161.0,coffee
26.65,69.19,23.08,30.46,44.72,5.39,151.06,pigeonpeas
16.13,23.5,28.65,31.38,54.38,5.26,92.78,mango
19.9,140.43,192.01,21.32,89.02,5.82,121.18,apple
20.88,25.61,30.35,31.58,48.17,5.44,92.01,mango
14.45,29.04,47.2,21.74,90.74,6.21,110.09,pomegranate
98.76,22.84,33.3,26.42,62.07,7.19,143.25,coffee
17.36,69.75,19.44,22.1,35.38,5.5,158.65,pigeonpeas
114.8,32.2,29.87,23.19,56.65,7.28,183.04,coffee
15.44,145.0,193.26,22.83,81.82,6.57,64.3,grapes
82.86,37.53,21.92,27.53,82.51,7.03,80.23,cotton
17.23,12.53,34.23,19.8,87.79,6.11,110.61,pomegranate
44.84,60.96,52.17,30.69,92.36,6.67,131.57,papaya
17.82,145.0,201.32,21.76,91.8,6.39,111.05,apple
32.35,66.6,17.24,25.51,71.5,7.31,71.0,blackgram
18.64,67.08,19.89,23.37,57.07,5.82,158.36,pigeonpeas
85.55,19.96,47.1,24.66,88.18,5.94,43.18,watermelon
38.63,61.07,46.89,32.83,93.12,6.66,147.21,papaya
31.02,61.07,23.17,29.56,65.42,7.33,71.98,blackgram
23.83,145.0,193.0,26.19,86.06,5.9,73.04,grapes
12.89,64.59,15.09,26.23,67.67,6.21,52.37,lentil
80.21,51.77,38.45,24.25,81.91,6.44,251.08,rice
105.97,23.17,29.53,25.98,57.15,6.89,172.61,coffee
57.79,68.71,53.91,38.15,91.81,6.57,127.03,papaya
41.58,68.55,84.25,18.69,17.58,7.26,82.22,chickpea
91.61,31.4,32.05,23.24,53.04,6.8,190.35,coffee
66.85,32.41,34.27,20.02,86.99,6.76,160.93,jute
18.6,40.33,21.55,26.53,64.12,7.14,46.55,mothbeans
11.58,20.13,41.66,20.44,86.89,6.84,110.45,pomegranate
54.33,51.64,40.92,30.28,92.01,7.22,153.47,papaya
19.26,62.21,25.2,25.56,44.77,5.9,125.46,pigeonpeas
26.21,127.5,195.68,24.57,93.59,5.92,116.01,apple
26.29,64.24,19.55,19.95,20.47,5.74,94.53,kidneybeans
19.68,14.7,7.79,19.93,90.22,6.89,124.16,orange
18.15,39.91,17.86,29.24,54.81,6.9,43.24,mothbeans
85.71,54.95,44.77,24.9,81.35,6.7,216.88,rice
20.24,44.16,15.82,26.88,79.43,6.67,44.81,mungbean
84.94,18.09,47.01,26.89,85.88,6.68,57.85,watermelon
13.32,23.06,39.17,24.34,91.33,6.03,116.05,pomegranate
15.75,16.94,31.68,24.98,92.96,5.96,159.74,coconut
28.4,9.99,33.81,26.58,94.64,5.84,203.47,coconut
81.3,39.5,38.92,23.87,73.21,7.02,164.36,jute
16.12,14.89,47.39,22.91,87.76,6.73,108.7,pomegranate
23.25,59.46,22.46,23.18,18.79,5.52,121.16,kidneybeans
16.0,36.55,18.82,30.2,60.17,7.23,54.63,mothbeans
76.92,51.75,42.24,25.76,84.46,6.36,167.7,jute
23.48,73.71,17.71,20.18,23.31,5.66,121.99,kidneybeans
80.73,37.97,33.52,22.93,87.31,6.3,198.62,rice
16.17,63.12,17.44,23.53,62.26,6.98,47.5,lentil
52.19,58.49,49.61,36.53,95.84,6.75,155.7,papaya
13.72,18.13,42.6,19.38,92.12,6.15,104.6,pomegranate
19.68,16.81,9.25,21.36,91.01,6.99,93.82,orange
48.47,66.21,80.09,19.96,17.27,7.68,82.4,chickpea
81.71,49.84,31.37,28.05,77.59,6.42,170.97,jute
15.92,15.1,35.19,21.37,91.06,6.61,108.95,pomegranate
102.15,53.91,18.18,23.94,73.67,6.37,85.28,cotton
26.45,45.62,16.69,28.9,53.63,7.01,52.73,mothbeans
18.87,44.09,20.78,26.25,89.34,6.5,52.73,mungbean
26.63,135.0,200.33,22.99,82.1,6.15,70.67,grapes
12.48,48.45,19.79,28.72,83.93,7.62,56.56,mungbean
28.79,68.32,17.48,31.56,59.52,6.91,46.6,lentil
105.84,39.86,18.37,23.85,77.83,7.32,83.18,cotton
21.51,61.19,17.39,22.35,18.63,6.03,92.39,kidneybeans
11.04,23.4,20.58,30.86,46.2,5.82,84.95,mango
93.08,17.88,50.6,28.97,94.02,6.15,20.0,muskmelon
21.89,77.89,21.07,19.47,21.6,5.45,114.97,kidneybeans
18.1,14.46,10.44,22.91,90.75,6.13,103.55,orange
23.74,58.48,22.33,25.19,43.59,5.07,139.47,pigeonpeas
75.7,48.31,19.56,24.81,74.04,6.03,68.36,maize
80.05,53.59,39.23,25.12,79.27,6.94,164.78,jute
127.91,30.35,32.87,26.57,61.39,6.96,138.26,coffee
107.89,54.43,19.65,24.92,84.34,5.96,90.63,cotton
61.84,58.83,25.39,20.87,63.65,6.29,88.81,maize
18.85,59.62,18.6,27.93,69.6,6.89,45.26,lentil
15.48,71.86,21.89,18.49,23.84,5.57,109.7,kidneybeans
18.77,17.25,45.42,20.82,86.57,6.24,111.21,pomegranate
56.38,51.32,59.47,36.7,89.13,6.56,158.92,papaya
80.1,40.13,42.31,24.0,80.5,6.43,226.57,rice
14.3,69.03,23.02,24.56,49.21,6.27,149.75,pigeonpeas
92.46,19.77,49.16,30.51,93.3,6.3,24.67,muskmelon
13.92,43.05,19.11,26.11,83.28,6.9,56.96,mungbean
17.53,63.59,16.7,20.98,23.55,5.79,131.02,kidneybeans
62.21,49.28,19.95,23.85,65.68,5.91,99.16,maize
79.37,57.87,44.01,23.52,88.06,6.69,193.49,jute
14.99,70.05,22.66,19.26,15.09,5.74,112.45,kidneybeans
44.76,53.01,86.52,16.41,18.87,7.75,71.37,chickpea
123.33,43.11,24.87,26.68,79.9,7.51,94.66,cotton
20.97,41.88,20.62,31.12,55.44,7.38,49.3,mothbeans
14.14,144.66,202.67,20.16,93.83,6.18,113.57,apple
53.08,59.03,51.76,39.57,93.95,6.95,144.49,papaya
17.76,15.28,41.28,21.37,87.16,6.84,103.77,pomegranate
112.85,42.96,17.69,24.21,86.72,6.6,77.85,cotton
27.58,26.06,24.08,31.92,45.15,5.98,97.17,mango
24.33,137.53,198.5,25.84,80.12,5.37,67.9,grapes
26.83,26.5,34.08,30.73,53.17,4.91,109.21,mango
64.85,37.07,31.55,24.12,54.4,6.65,171.0,coffee
105.57,29.16,29.4,25.33,55.44,6.8,147.58,coffee
131.29,39.7,22.72,27.69,82.09,7.22,81.76,cotton
13.17,51.56,11.89,26.94,50.76,7.18,51.38,mothbeans
22.55,15.84,30.19,26.37,97.02,6.43,173.3,coconut
18.16,16.52,28.83,29.21,93.85,5.76,210.67,coconut
13.88,17.41,31.24,29.7,97.42,6.26,136.77,coconut
18.29,125.83,198.86,21.99,96.0,5.55,113.42,apple
19.99,19.35,11.01,26.14,86.6,6.88,119.65,orange
15.01,26.29,27.18,30.23,53.75,5.84,110.34,mango
9.88,24.88,33.17,33.17,53.4,5.41,104.4,mango
24.28,15.22,8.45,22.46,91.52,7.78,101.92,orange
104.96,83.36,46.61,28.31,78.13,5.97,116.18,banana
11.56,130.03,193.86,23.22,90.07,6.03,111.39,apple
24.68,136.77,205.0,22.63,85.6,5.8,74.91,grapes
42.49,58.98,23.29,28.69,68.74,7.57,70.54,blackgram
22.14,49.05,20.01,20.76,23.91,5.5,107.19,kidneybeans
25.23,132.63,195.07,17.03,82.98,6.05,67.13,grapes
111.82,62.34,17.89,23.12,77.18,7.41,77.42,cotton
12.77,54.24,17.64,20.42,63.1,7.1,41.25,lentil
73.25,83.56,57.67,26.87,79.72,6.09,100.13,banana
16.51,58.07,14.27,30.82,52.08,7.32,51.84,mothbeans
6.07,145.0,202.36,23.09,92.18,5.95,108.52,apple
72.95,47.63,41.08,24.02,84.68,6.36,178.72,jute
12.62,71.45,21.9,23.0,69.46,6.23,38.23,lentil
97.48,27.41,29.22,27.16,58.38,7.11,185.78,coffee
17.83,16.48,12.59,22.56,92.63,6.96,119.16,orange
16.54,57.54,23.17,23.26,59.73,6.83,46.04,lentil
43.11,63.8,16.59,29.88,65.65,7.98,66.7,blackgram
99.61,83.88,35.25,26.19,79.23,6.45,95.96,banana
25.68,63.3,14.4,22.12,19.89,5.86,76.35,kidneybeans
15.26,17.47,43.01,26.8,89.53,5.98,109.91,pomegranate
75.58,41.14,37.88,24.65,81.01,6.98,167.84,jute
33.99,59.72,53.44,30.78,90.83,6.33,174.4,papaya
22.84,67.69,23.54,22.82,64.58,6.53,45.74,lentil
14.49,20.94,31.96,28.58,95.98,6.05,201.99,coconut
20.71,63.67,19.19,23.45,24.95,5.44,118.35,kidneybeans
16.92,58.43,18.63,20.46,23.09,5.59,99.71,kidneybeans
25.7,45.68,16.7,31.04,52.63,6.93,61.08,mothbeans
42.17,60.66,53.1,36.64,93.65,6.6,156.89,papaya
35.07,75.97,80.0,18.89,16.14,7.36,86.7,chickpea
95.51,21.07,50.06,24.51,86.88,6.38,44.68,watermelon
26.6,29.87,27.86,34.15,49.15,5.31,93.67,mango
13.76,23.64,29.52,28.66,51.39,5.71,94.76,mango
85.77,46.45,20.08,22.92,57.03,6.13,76.62,maize
86.32,84.58,44.54,26.6,81.9,5.71,117.44,banana
62.75,43.06,34.94,24.23,79.58,5.84,272.84,rice
14.24,30.97,17.57,30.11,55.78,6.67,51.02,mothbeans
22.48,130.05,197.21,21.12,85.83,6.35,105.7,apple
22.01,75.32,24.35,19.38,18.28,5.62,109.8,kidneybeans
21.01,65.59,19.06,24.87,61.75,6.98,53.35,lentil
35.98,78.14,78.75,19.33,17.32,7.25,86.59,chickpea
20.79,69.68,25.1,22.24,22.08,5.89,90.41,kidneybeans
100.65,53.92,19.96,23.54,81.09,6.99,86.54,cotton
28.86,62.57,25.45,29.64,51.42,5.92,144.53,pigeonpeas
49.59,71.49,78.52,19.95,16.13,7.77,83.06,chickpea
39.2,59.2,85.54,18.72,12.45,7.64,75.82,chickpea
93.59,14.41,45.68,29.12,91.85,6.06,26.13,muskmelon
19.1,130.72,201.41,23.34,82.98,6.53,67.57,grapes
22.23,70.79,20.58,23.44,66.6,6.8,48.48,lentil
17.02,145.0,196.44,24.14,93.99,5.99,108.01,apple
20.61,53.75,20.53,28.81,82.23,6.77,54.61,mungbean
24.45,64.79,16.61,26.57,55.64,5.53,156.67,pigeonpeas
53.39,72.1,82.5,16.2,15.71,6.98,75.13,chickpea
133.48,53.12,18.68,24.31,75.85,7.1,82.6,cotton
23.78,72.42,76.73,16.15,17.82,7.85,79.0,chickpea
10.05,73.08,20.65,28.97,71.66,4.76,183.99,pigeonpeas
21.69,120.62,205.0,23.62,81.42,6.27,71.29,grapes
12.93,137.18,194.32,22.18,91.56,5.98,108.83,apple
23.95,66.97,19.04,20.4,19.51,6.12,81.79,kidneybeans
41.5,65.21,19.57,32.93,66.63,6.99,64.8,blackgram
45.37,56.08,16.49,26.29,64.0,7.09,68.48,blackgram
21.23,76.55,17.46,29.06,49.3,5.93,174.95,pigeonpeas
93.72,28.4,29.06,25.7,55.91,6.42,157.36,coffee
15.16,76.9,16.46,20.46,66.32,6.57,47.31,lentil
122.62,44.09,16.61,24.53,80.4,7.74,75.4,cotton
22.13,19.14,12.21,22.42,93.48,6.85,104.04,orange
9.26,20.18,42.17,25.93,90.5,6.65,106.33,pomegranate
18.79,14.41,12.85,26.31,92.42,6.49,101.92,orange
16.59,124.06,204.03,23.08,93.1,5.79,110.74,apple
20.89,55.38,21.81,26.5,65.63,6.96,61.4,mothbeans
106.42,27.59,31.59,23.74,59.19,7.04,102.4,coffee
17.37,86.47,20.31,23.53,55.98,7.46,38.97,lentil
89.13,48.99,26.96,23.38,65.97,6.11,86.4,maize
78.05,38.66,18.2,23.2,58.83,6.33,84.56,maize
10.99,13.54,45.44,21.25,88.42,6.02,104.17,pomegranate
109.76,19.21,47.93,26.23,91.31,6.34,23.76,muskmelon
81.75,47.82,22.45,25.88,67.43,6.2,69.06,maize
21.9,50.14,17.96,26.01,87.01,6.08,46.5,mungbean
91.34,42.15,40.4,23.73,78.5,6.69,163.06,jute
83.13,40.63,18.13,27.19,64.44,6.27,95.24,maize
15.32,73.07,20.75,24.1,61.13,6.94,37.88,lentil
39.36,70.58,72.15,17.21,14.41,7.36,93.96,chickpea
15.98,42.54,18.63,26.45,82.58,6.91,40.56,mungbean
18.54,16.42,34.22,28.14,92.64,5.7,164.91,coconut
21.08,20.03,40.39,27.57,92.18,5.82,186.96,coconut
118.69,61.03,19.51,23.51,82.4,6.76,81.08,cotton
20.85,75.9,18.52,16.35,23.15,5.57,88.06,kidneybeans
38.64,69.94,84.57,17.7,19.79,7.19,79.93,chickpea
25.64,48.52,17.76,30.18,52.11,7.12,47.38,mothbeans
97.62,21.12,39.32,25.23,63.05,6.43,176.03,coffee
49.53,58.8,15.82,27.71,64.83,7.23,72.24,blackgram
98.85,47.42,19.05,26.92,82.58,6.65,83.38,cotton
64.48,58.11,19.75,25.19,66.57,6.34,91.64,maize
15.83,52.58,15.37,26.93,56.18,6.42,49.31,mothbeans
15.23,73.58,13.78,26.11,60.4,7.4,46.51,lentil
20.03,62.88,22.1,20.94,22.83,5.59,73.6,kidneybeans
90.07,68.05,50.63,27.82,84.87,5.62,113.84,banana
109.67,15.06,51.65,24.99,85.75,6.77,44.66,watermelon
26.03,137.65,200.73,25.37,79.9,5.91,70.37,grapes
19.5,59.25,18.6,24.58,65.87,6.45,51.68,lentil
49.17,66.93,16.17,25.73,59.21,6.69,76.07,blackgram
84.04,60.2,40.87,24.12,82.08,5.63,235.54,rice
11.44,24.11,38.18,20.58,85.69,6.92,99.76,pomegranate
27.29,27.86,30.04,35.29,45.19,5.29,85.0,mango
13.2,15.7,31.37,26.16,95.97,5.92,196.58,coconut
119.58,42.34,20.38,23.3,82.44,7.03,77.88,cotton
11.55,45.17,14.07,29.7,42.87,6.82,34.58,mothbeans
18.07,52.29,20.53,27.02,85.48,6.94,47.27,mungbean
21.25,61.15,15.26,20.0,55.91,6.69,44.2,lentil
25.69,116.96,199.22,20.33,81.39,6.29,70.82,grapes
21.44,61.53,17.86,30.67,56.72,5.68,150.42,pigeonpeas
89.21,83.01,47.99,29.17,84.33,6.26,107.05,banana
78.37,45.44,20.55,19.03,61.31,6.56,76.92,maize
129.63,97.87,50.05,27.98,84.48,5.96,99.35,banana
91.96,17.0,52.85,29.26,90.89,6.23,26.67,muskmelon
27.62,145.0,196.53,23.5,81.22,5.41,68.36,grapes
13.09,68.49,21.99,20.26,68.08,7.23,50.47,lentil
96.3,15.28,53.69,26.21,84.64,6.92,49.74,watermelon
95.69,87.6,42.5,29.17,83.56,6.03,102.78,banana
9.56,125.2,197.0,22.59,92.01,5.86,115.56,apple
16.94,29.6,31.16,29.18,55.17,5.92,99.08,mango
21.69,53.35,20.01,29.44,61.39,7.03,53.69,mothbeans
101.61,83.89,46.24,26.82,79.78,6.48,87.95,banana
19.0,10.23,10.97,19.48,92.4,6.78,102.96,orange
20.27,15.74,9.77,22.47,91.97,7.35,114.76,orange
20.15,133.13,196.02,24.01,92.45,5.85,107.47,apple
79.66,42.61,39.57,25.59,82.78,6.8,169.1,jute
18.17,27.93,26.89,32.29,47.53,5.74,99.97,mango
74.4,52.23,43.05,23.56,82.65,6.91,221.41,rice
15.1,137.54,198.67,25.47,86.56,5.36,66.8,grapes
38.99,63.22,70.1,20.02,14.65,7.4,96.69,chickpea
53.34,63.68,48.18,35.46,91.84,6.84,145.99,papaya
94.55,33.43,25.09,22.93,64.81,6.04,89.59,maize
105.53,15.74,46.02,27.62,91.39,6.33,31.2,muskmelon
54.4,63.42,50.31,36.81,97.59,7.04,132.15,papaya
76.16,45.53,48.84,26.11,88.28,6.55,173.53,jute
62.93,41.54,15.94,19.96,69.41,5.92,116.39,maize
14.11,127.11,195.65,21.51,91.34,5.97,118.76,apple
27.63,65.58,12.19,26.8,47.71,5.29,139.2,pigeonpeas
116.3,27.71,28.58,25.41,61.44,6.9,205.76,coffee
11.35,130.83,202.14,23.29,95.01,6.26,110.7,apple
19.3,9.17,31.43,27.34,97.49,6.11,149.08,coconut
16.52,62.42,19.52,25.59,63.22,7.12,47.23,lentil
19.02,31.77,30.45,32.98,53.81,5.96,88.88,mango
86.69,14.37,56.95,28.66,91.81,6.16,26.04,muskmelon
90.36,52.09,42.13,25.82,77.45,7.26,175.45,jute
137.99,59.09,17.84,20.3,73.51,7.43,80.02,cotton
19.82,19.22,10.59,24.56,88.86,7.15,105.36,orange
17.65,19.78,39.12,18.71,94.09,6.43,116.09,pomegranate
43.39,78.95,18.54,30.04,65.87,7.82,55.2,blackgram
73.49,43.59,37.04,21.87,82.45,6.07,242.96,rice
25.9,44.24,20.14,28.3,50.69,5.98,53.78,mothbeans
80.32,15.58,52.08,29.37,90.94,6.34,22.91,muskmelon
92.6,17.55,59.81,24.56,91.32,7.1,50.31,watermelon
13.74,71.36,16.78,23.98,60.68,7.23,41.52,lentil
21.59,70.5,20.39,27.51,40.93,6.53,185.64,pigeonpeas
26.8,131.94,198.56,25.11,80.05,5.9,70.09,grapes
24.4,41.54,24.13,28.83,56.64,7.68,42.31,mothbeans
16.92,19.44,44.82,20.58,87.58,6.48,96.74,pomegranate
60.43,47.77,43.35,22.47,81.17,7.1,203.12,jute
95.07,18.18,46.5,24.15,88.93,6.72,51.13,watermelon
92.31,26.63,29.24,26.8,57.27,6.55,151.77,coffee
56.44,49.63,43.85,25.57,77.36,6.36,182.22,jute
16.63,136.89,197.18,21.55,92.15,6.0,102.65,apple
67.01,57.01,47.12,24.55,78.3,6.88,183.06,jute
25.79,12.45,11.64,27.84,92.2,6.67,111.36,orange
20.82,19.87,27.5,29.5,47.41,5.88,93.74,mango
20.74,81.67,20.02,19.72,20.71,5.66,126.49,kidneybeans
96.42,14.92,49.93,23.91,84.97,6.95,47.74,watermelon
19.2,81.03,24.88,33.25,47.15,5.95,119.17,pigeonpeas
105.73,44.0,10.35,24.62,77.87,7.34,83.52,cotton
14.41,15.82,7.83,17.02,93.65,7.23,113.77,orange
116.05,16.2,55.49,25.81,82.13,7.05,55.75,watermelon
105.35,16.6,48.54,30.96,94.18,6.25,26.41,muskmelon
120.58,54.09,17.89,24.62,79.59,7.07,75.16,cotton
24.56,78.56,16.95,18.48,18.46,5.65,112.9,kidneybeans
33.91,67.49,82.14,19.94,17.15,7.15,73.48,chickpea
36.94,68.55,21.51,34.66,68.41,7.45,64.76,blackgram
7.47,77.51,21.68,20.14,62.37,7.53,52.94,lentil
77.62,48.18,31.26,24.27,83.12,6.57,163.74,jute
15.67,22.21,41.19,21.78,92.3,6.54,116.18,pomegranate
109.4,19.62,51.53,27.81,91.9,6.38,26.35,muskmelon
21.33,17.29,29.17,27.14,91.63,6.11,187.36,coconut
109.32,75.28,55.49,27.61,78.38,6.2,111.75,banana
94.63,23.1,58.19,30.8,91.91,6.04,20.0,muskmelon
107.66,89.59,48.78,25.55,84.22,5.97,118.44,banana
64.74,37.75,20.67,25.02,71.94,6.06,97.74,maize
24.8,68.52,22.48,31.11,67.19,6.92,49.31,lentil
23.14,130.58,202.45,20.26,81.83,6.12,69.73,grapes
110.66,25.95,29.3,23.72,58.06,7.01,160.52,coffee
36.95,66.8,71.15,17.86,15.98,7.09,81.32,chickpea
26.73,50.49,13.37,27.71,83.81,6.84,32.65,mungbean
9.97,66.39,19.81,24.37,64.22,6.92,50.81,lentil
32.26,66.5,22.49,25.52,71.24,7.44,65.04,blackgram
106.02,75.21,51.22,26.3,77.71,5.81,101.6,banana
102.33,51.14,40.65,24.63,78.73,7.05,167.44,jute
24.56,22.75,28.03,33.69,47.53,5.68,104.16,mango
18.41,43.31,19.22,31.4,57.21,7.32,39.87,mothbeans
21.9,44.66,19.61,31.54,48.49,7.77,48.62,mothbeans
105.1,19.98,55.08,28.02,85.93,6.58,43.18,watermelon
33.08,69.37,16.73,28.86,70.4,7.35,68.75,blackgram
27.27,14.87,11.57,25.33,91.63,7.53,90.14,orange
107.6,15.6,47.01,26.82,81.33,6.41,52.44,watermelon
14.73,142.98,194.04,19.87,96.04,5.48,113.99,apple
18.75,124.41,187.51,21.04,94.53,5.78,111.51,apple
89.91,29.95,31.9,22.27,54.41,7.07,173.87,coffee
31.61,75.92,19.74,31.58,64.69,6.85,72.31,blackgram
83.3,19.26,45.87,25.19,89.6,6.08,43.14,watermelon
100.93,44.41,21.45,24.65,78.64,6.98,81.26,cotton
85.53,53.31,20.84,22.66,64.95,5.97,81.43,maize
37.12,85.28,19.08,27.09,64.56,7.26,77.84,blackgram
20.31,134.86,199.68,24.08,80.53,5.85,70.75,grapes
35.25,64.54,70.53,19.22,16.8,6.97,85.37,chickpea
22.82,144.8,196.71,22.02,83.1,5.83,70.21,grapes
28.61,17.18,30.51,25.23,94.18,5.93,160.78,coconut
104.52,91.5,46.14,26.78,78.23,6.09,101.73,banana
16.4,41.51,23.14,29.91,86.96,7.02,43.12,mungbean
31.75,43.7,18.75,28.07,55.18,6.96,61.47,mothbeans
121.76,40.73,20.38,22.78,78.97,7.31,87.67,cotton
21.59,80.17,19.35,18.4,19.97,5.48,94.13,kidneybeans
123.86,46.51,20.11,20.51,78.68,6.63,75.13,cotton
100.83,13.77,51.55,25.05,88.34,6.73,48.32,watermelon
21.18,17.0,33.37,27.23,94.83,5.82,183.45,coconut
26.83,138.05,205.0,21.43,83.63,5.91,74.36,grapes
16.28,141.67,202.07,22.12,95.5,6.37,119.23,apple
46.19,56.55,47.99,36.76,91.88,6.34,141.63,papaya
85.88,48.97,36.89,23.18,80.82,6.16,257.44,rice
112.35,16.51,54.98,25.02,86.01,6.56,50.57,watermelon
97.64,30.15,30.06,26.87,52.83,7.3,167.55,coffee
